address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2309 SW 1st Ave APT 1442,Portland,OR,97201,435000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-1442-Portland-OR-97201/53815576_zpid/
1920 SW River Dr UNIT 1301,Portland,OR,97201,3995000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1920-SW-River-Dr-UNIT-1301-Portland-OR-97201/2093021573_zpid/
1730 SW Harbor Way UNIT 603,Portland,OR,97201,370000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1730-SW-Harbor-Way-UNIT-603-Portland-OR-97201/53943960_zpid/
1616 SW Harbor Way UNIT 505,Portland,OR,97201,395000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1616-SW-Harbor-Way-UNIT-505-Portland-OR-97201/53943638_zpid/
1414 SW 3rd Ave 2303 # 2303,Portland,OR,97201,825000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-2303-2303-Portland-OR-97201/2092960225_zpid/
1930 SW River Dr UNIT 907,Portland,OR,97201,480000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1930-SW-River-Dr-UNIT-907-Portland-OR-97201/79893275_zpid/
0 SW Greenway,Portland,OR,97201,850000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-SW-Greenway-Portland-OR-97201/2093112853_zpid/
2221 SW 1st Ave APT 2424,Portland,OR,97201,525000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2221-SW-1st-Ave-APT-2424-Portland-OR-97201/53815202_zpid/
2024 SW Howards Way APT 404,Portland,OR,97201,440000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2024-SW-Howards-Way-APT-404-Portland-OR-97201/53816814_zpid/
2309 SW 1st Ave APT 544,Portland,OR,97201,424999,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-544-Portland-OR-97201/53815533_zpid/
255 SW Harrison St APT 25A,Portland,OR,97201,484500,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/255-SW-Harrison-St-APT-25A-Portland-OR-97201/68353752_zpid/
SW Sherwood Pl,Portland,OR,97201,227500,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Sherwood-Pl-Portland-OR-97201/2101560846_zpid/
0 SW Fairmount Blvd,Portland or,OR,97201,145900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-SW-Fairmount-Blvd-Portland-Or-OR-97201/2100836714_zpid/
2420 SW Hoffman Ave,PORTLAND,OR,97201,395000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2420-SW-Hoffman-Ave-Portland-OR-97201/119265526_zpid/
SW Cardinell Way,Portland,OR,97201,1595000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/SW-Cardinell-Way-Portland-OR-97201/126248027_zpid/
1414 SW 3rd Ave 2604 # 2604,Portland,OR,97201,949000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-2604-2604-Portland-OR-97201/2092942289_zpid/
2221 SW 1st Ave APT 2025,Portland,OR,97201,535000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2221-SW-1st-Ave-APT-2025-Portland-OR-97201/53815183_zpid/
3434 SW Talbot Rd,Portland,OR,97201,1650000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3434-SW-Talbot-Rd-Portland-OR-97201/53998156_zpid/
2629 SW Buena Vista Dr,Portland,OR,97201,3000000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2629-SW-Buena-Vista-Dr-Portland-OR-97201/53814580_zpid/
2643 SW Buena Vista Dr,Portland,OR,97201,1700000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2643-SW-Buena-Vista-Dr-Portland-OR-97201/53814581_zpid/
1828 SW Elizabeth St,Portland,OR,97201,849000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1828-SW-Elizabeth-St-Portland-OR-97201/53874691_zpid/
1900 SW River Dr UNIT 302,Portland,OR,97201,1950000,NA,NA,NA,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1900-SW-River-Dr-UNIT-302-Portland-OR-97201/72259789_zpid/
1205 SW Cardinell Dr UNIT 802,Portland,OR,97201,500000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1205-SW-Cardinell-Dr-UNIT-802-Portland-OR-97201/2096484823_zpid/
2309 SW 1st Ave APT 1343,Portland,OR,97201,439500,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2309-SW-1st-Ave-APT-1343-Portland-OR-97201/53815572_zpid/
1414 SW 3rd Ave APT 2303,Portland,OR,97201,825000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-2303-Portland-OR-97201/53867263_zpid/
2020 SW Market Street Dr APT 205,Portland,OR,97201,1275000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2020-SW-Market-Street-Dr-APT-205-Portland-OR-97201/53978089_zpid/
1870 SW Edgewood Rd,Portland,OR,97201,965000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1870-SW-Edgewood-Rd-Portland-OR-97201/53954865_zpid/
2642 SW Chelmsford Ave,Portland,OR,97201,1375000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2642-SW-Chelmsford-Ave-Portland-OR-97201/53954033_zpid/
2611 SW Ravensview Dr,Portland,OR,97201,1549000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2611-SW-Ravensview-Dr-Portland-OR-97201/53880126_zpid/
1414 SW 3rd Ave APT 2301,Portland,OR,97201,850000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-2301-Portland-OR-97201/53867260_zpid/
2020 SW Market Street Dr APT 104,Portland,OR,97201,1499000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2020-SW-Market-Street-Dr-APT-104-Portland-OR-97201/53978083_zpid/
1414 SW 3rd Ave APT 2604,Portland,OR,97201,949000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1414-SW-3rd-Ave-APT-2604-Portland-OR-97201/53867285_zpid/
1205 SW Cardinell Dr,Portland,OR,97201,879000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1205-SW-Cardinell-Dr-Portland-OR-97201/2106069788_zpid/
2105 SW Clifton St,Portland,OR,97201,2495000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2105-SW-Clifton-St-Portland-OR-97201/53835675_zpid/
